Barcode	Set	CellType
Cell-62323	P11	C53
Cell-62339	P11	C41
Cell-62340	P11	C12
Cell-62341	P11	C4
Cell-62343	P11	C4
Cell-62344	P11	C47
Cell-62346	P11	C44
Cell-62360	P11	C27
Cell-62363	P11	C41
Cell-62365	P11	C12
Cell-62370	P11	C54
Cell-62382	P11	C8
Cell-62384	P11	C18
Cell-62397	P11	C18
Cell-62400	P11	C8
Cell-62411	P11	C10
Cell-62415	P11	C14
Cell-62416	P11	C10
Cell-62419	P11	C8
Cell-62428	P11	C54
Cell-62437	P11	C40
Cell-62450	P11	C8
Cell-62455	P11	C26
Cell-62462	P11	C21
Cell-62463	P11	C1
Cell-62464	P11	C54
Cell-62483	P11	C3
Cell-62484	P11	C41
Cell-62493	P11	C8
Cell-62494	P11	C20
Cell-62496	P11	C54
Cell-62498	P11	C12
Cell-62507	P11	C54
Cell-62510	P11	C14
Cell-62518	P11	C8
Cell-62525	P11	C12
Cell-62541	P11	C53
Cell-62542	P11	C12
Cell-62545	P11	C37
Cell-62559	P11	C16
Cell-62563	P11	C8
Cell-62564	P11	C12
Cell-62566	P11	C3
Cell-62569	P11	C39
Cell-62577	P11	C8
Cell-62589	P11	C54
Cell-62590	P11	C19
Cell-62603	P11	C29
Cell-62616	P11	C30
Cell-62619	P11	C34
Cell-62630	P11	C12
Cell-62635	P11	C4
Cell-62664	P11	C40
Cell-62670	P11	C10
Cell-62672	P11	C10
Cell-62684	P11	C54
Cell-62686	P11	C53
Cell-62688	P11	C53
Cell-62699	P11	C13
Cell-62700	P11	C41
Cell-62704	P11	C31
Cell-62705	P11	C20
Cell-62706	P11	C28
Cell-62707	P11	C4
Cell-62708	P11	C8
Cell-62725	P11	C3
Cell-62727	P11	C9
Cell-62733	P11	C8
Cell-62743	P11	C12
Cell-62757	P11	C1
Cell-62758	P11	C19
Cell-62764	P11	C13
Cell-62765	P11	C13
Cell-62766	P11	C30
Cell-62768	P11	C54
Cell-62780	P11	C12
Cell-62781	P11	C8
Cell-62782	P11	C20
Cell-62812	P11	C34
Cell-62813	P11	C4
Cell-62815	P11	C30
Cell-62816	P11	C30
Cell-62833	P11	C16
Cell-62841	P11	C40
Cell-62855	P11	C9
Cell-62856	P11	C25
Cell-62875	P11	C18
Cell-62880	P11	C9
Cell-62896	P11	C12
Cell-62897	P11	C3
Cell-62904	P11	C19
Cell-62918	P11	C38
Cell-62923	P11	C16
Cell-62939	P11	C1
Cell-62950	P11	C3
Cell-62951	P11	C16
Cell-62954	P11	C1
Cell-62964	P11	C10
Cell-62965	P11	C54
Cell-62966	P11	C53
Cell-62967	P11	C4
Cell-62991	P11	C47
Cell-62992	P11	C33
Cell-62997	P11	C12
Cell-63011	P11	C9
Cell-63012	P11	C21
Cell-63014	P11	C54
Cell-63015	P11	C20
Cell-63016	P11	C34
Cell-63029	P11	C19
Cell-63030	P11	C3
Cell-63034	P11	C12
Cell-63038	P11	C22
Cell-63055	P11	C27
Cell-63079	P11	C11
Cell-63081	P11	C47
Cell-63082	P11	C1
Cell-63086	P11	C13
Cell-63092	P11	C11
Cell-63099	P11	C40
Cell-63104	P11	C12
Cell-63105	P11	C16
Cell-63124	P11	C54
Cell-63125	P11	C4
Cell-63126	P11	C12
Cell-63132	P11	C53
Cell-63140	P11	C53
Cell-63142	P11	C41
Cell-63149	P11	C20
Cell-63160	P11	C55
Cell-63161	P11	C10
Cell-63166	P11	C27
Cell-63167	P11	C12
Cell-63183	P11	C10
Cell-63185	P11	C21
Cell-63186	P11	C14
Cell-63187	P11	C32
Cell-63188	P11	C53
Cell-63198	P11	C26
Cell-63200	P11	C12
Cell-63202	P11	C10
Cell-63222	P11	C24
Cell-63225	P11	C16
Cell-63228	P11	C30
Cell-63229	P11	C16
Cell-63230	P11	C35
Cell-63252	P11	C30
Cell-63266	P11	C12
Cell-63269	P11	C1
Cell-63270	P11	C44
Cell-63272	P11	C30
Cell-63273	P11	C1
Cell-63284	P11	C53
Cell-63286	P11	C24
Cell-63287	P11	C26
Cell-63299	P11	C39
Cell-63300	P11	C47
Cell-63301	P11	C10
Cell-63304	P11	C26
Cell-63307	P11	C55
Cell-63308	P11	C8
Cell-63309	P11	C13
Cell-63320	P11	C9
Cell-63321	P11	C18
Cell-63323	P11	C1
Cell-63328	P11	C9
Cell-63341	P11	C3
Cell-63355	P11	C9
Cell-63368	P11	C9
Cell-63370	P11	C24
Cell-63374	P11	C3
Cell-63377	P11	C44
Cell-63395	P11	C8
Cell-63396	P11	C26
Cell-63397	P11	C12
Cell-63400	P11	C3
Cell-63416	P11	C41
Cell-63417	P11	C41
Cell-63421	P11	C13
Cell-63439	P11	C41
Cell-63441	P11	C30
Cell-63442	P11	C55
Cell-63444	P11	C10
Cell-63455	P11	C23
Cell-63468	P11	C4
Cell-63469	P11	C36
Cell-63481	P11	C41
Cell-63484	P11	C44
Cell-63485	P11	C36
Cell-63488	P11	C54
Cell-63489	P11	C9
Cell-63492	P11	C12
Cell-63493	P11	C12
Cell-63495	P11	C12
Cell-63509	P11	C10
Cell-63511	P11	C8
Cell-63516	P11	C54
Cell-63519	P11	C54
Cell-63521	P11	C21
Cell-63551	P11	C27
Cell-63552	P11	C16
Cell-63555	P11	C12
Cell-63556	P11	C12
Cell-63570	P11	C16
Cell-63571	P11	C21
Cell-63582	P11	C30
Cell-63584	P11	C8
Cell-63586	P11	C3
Cell-63587	P11	C27
Cell-63594	P11	C9
Cell-63595	P11	C3
Cell-63596	P11	C11
Cell-63616	P11	C24
Cell-63625	P11	C9
Cell-63627	P11	C4
Cell-63631	P11	C1
Cell-63633	P11	C53
Cell-63641	P11	C26
Cell-63642	P11	C3
Cell-63643	P11	C13
Cell-63649	P11	C9
Cell-63650	P11	C13
Cell-63659	P11	C1
Cell-63660	P11	C30
Cell-63662	P11	C33
Cell-63665	P11	C18
Cell-63672	P11	C3
Cell-63674	P11	C14
Cell-63675	P11	C25
Cell-63677	P11	C21
Cell-63678	P11	C26
Cell-63686	P11	C26
Cell-63694	P11	C9
Cell-63697	P11	C8
Cell-63698	P11	C18
Cell-63710	P11	C12
Cell-63711	P11	C10
Cell-63714	P11	C21
Cell-63715	P11	C4
Cell-63716	P11	C20
Cell-63717	P11	C26
Cell-63718	P11	C26
Cell-63725	P11	C21
Cell-63726	P11	C12
Cell-63738	P11	C53
Cell-63739	P11	C11
Cell-63742	P11	C47
Cell-63743	P11	C8
Cell-63763	P11	C35
Cell-63764	P11	C20
Cell-63767	P11	C27
Cell-63776	P11	C40
Cell-63779	P11	C1
Cell-63782	P11	C20
Cell-63783	P11	C23
Cell-63791	P11	C27
Cell-63793	P11	C8
Cell-63797	P11	C53
Cell-63798	P11	C20
Cell-63803	P11	C3
Cell-63804	P11	C41
Cell-63808	P11	C25
Cell-63809	P11	C8
Cell-63810	P11	C1
Cell-63811	P11	C12
Cell-63812	P11	C21
Cell-63820	P11	C40
Cell-63826	P11	C26
Cell-63827	P11	C13
Cell-63845	P11	C11
Cell-63848	P11	C3
Cell-63862	P11	C12
Cell-63863	P11	C8
Cell-63864	P11	C3
Cell-63866	P11	C12
Cell-63867	P11	C26
Cell-63871	P11	C21
Cell-63872	P11	C28
Cell-63880	P11	C11
Cell-63882	P11	C43
Cell-63885	P11	C53
Cell-63886	P11	C35
Cell-63888	P11	C18
Cell-63898	P11	C37
Cell-63899	P11	C24
Cell-63900	P11	C3
Cell-63901	P11	C34
Cell-63923	P11	C54
Cell-63924	P11	C4
Cell-63925	P11	C37
Cell-63927	P11	C11
Cell-63928	P11	C3
Cell-63929	P11	C8
Cell-63930	P11	C3
Cell-63938	P11	C24
Cell-63942	P11	C11
Cell-63952	P11	C1
Cell-63962	P11	C12
Cell-63963	P11	C14
Cell-63965	P11	C3
Cell-63978	P11	C20
Cell-63995	P11	C3
Cell-63997	P11	C11
Cell-63998	P11	C54
Cell-64000	P11	C18
Cell-64015	P11	C8
Cell-64016	P11	C8
Cell-64017	P11	C34
Cell-64018	P11	C8
Cell-64019	P11	C23
Cell-64020	P11	C8
Cell-64023	P11	C3
Cell-64026	P11	C8
Cell-64027	P11	C14
Cell-64037	P11	C47
Cell-64040	P11	C1
Cell-64043	P11	C4
Cell-64055	P11	C31
Cell-64067	P11	C1
Cell-64069	P11	C24
Cell-64084	P11	C31
Cell-64086	P11	C1
Cell-64087	P11	C55
Cell-64097	P11	C3
Cell-64098	P11	C12
Cell-64099	P11	C39
Cell-64100	P11	C26
Cell-64104	P11	C54
Cell-64106	P11	C44
Cell-64125	P11	C23
Cell-64127	P11	C53
Cell-64135	P11	C18
Cell-64138	P11	C3
Cell-64140	P11	C8
Cell-64143	P11	C30
Cell-64152	P11	C14
Cell-64153	P11	C40
Cell-64155	P11	C55
Cell-64164	P11	C12
Cell-64165	P11	C12
Cell-64166	P11	C11
Cell-64170	P11	C12
Cell-64185	P11	C30
Cell-64206	P11	C13
Cell-64209	P11	C3
Cell-64220	P11	C8
Cell-64221	P11	C27
Cell-64225	P11	C40
Cell-64227	P11	C20
Cell-64238	P11	C21
Cell-64239	P11	C44
Cell-64242	P11	C30
Cell-64243	P11	C13
Cell-64244	P11	C8
Cell-64245	P11	C18
Cell-64254	P11	C35
Cell-64255	P11	C53
Cell-64256	P11	C50
Cell-64257	P11	C30
Cell-64273	P11	C12
Cell-64275	P11	C8
Cell-64282	P11	C29
Cell-64284	P11	C12
Cell-64291	P11	C1
Cell-64301	P11	C31
Cell-64302	P11	C12
Cell-64313	P11	C3
Cell-64318	P11	C25
Cell-64333	P11	C45
Cell-64336	P11	C5
Cell-64349	P11	C21
Cell-64352	P11	C8
Cell-64353	P11	C8
Cell-64357	P11	C14
Cell-64383	P11	C3
Cell-64384	P11	C3
Cell-64403	P11	C41
Cell-64404	P11	C27
Cell-64405	P11	C24
Cell-64432	P11	C22
Cell-64440	P11	C12
Cell-64446	P11	C8
Cell-64451	P11	C12
Cell-64452	P11	C22
Cell-64464	P11	C1
Cell-64466	P11	C21
Cell-64467	P11	C8
Cell-64469	P11	C34
Cell-64478	P11	C4
Cell-64480	P11	C12
Cell-64492	P11	C12
Cell-64494	P11	C13
Cell-64496	P11	C53
Cell-64499	P11	C21
Cell-64515	P11	C9
Cell-64518	P11	C10
Cell-64519	P11	C3
Cell-64522	P11	C21
Cell-64530	P11	C12
Cell-64532	P11	C33
Cell-64536	P11	C9
Cell-64537	P11	C41
Cell-64538	P11	C26
Cell-64548	P11	C9
Cell-64551	P11	C21
Cell-64556	P11	C54
Cell-64568	P11	C53
Cell-64569	P11	C54
Cell-64570	P11	C8
Cell-64578	P11	C4
Cell-64581	P11	C30
Cell-64583	P11	C1
Cell-64584	P11	C21
Cell-64604	P11	C8
Cell-64607	P11	C11
Cell-64618	P11	C30
Cell-64619	P11	C16
Cell-64621	P11	C8
Cell-64624	P11	C3
Cell-64626	P11	C53
Cell-64627	P11	C27
Cell-64634	P11	C26
Cell-64635	P11	C24
Cell-64636	P11	C12
Cell-64639	P11	C53
Cell-64642	P11	C10
Cell-64651	P11	C3
Cell-64655	P11	C3
Cell-64656	P11	C16
Cell-64668	P11	C21
Cell-64670	P11	C22
Cell-64671	P11	C8
Cell-64673	P11	C8
Cell-64674	P11	C9
Cell-64688	P11	C8
Cell-64689	P11	C3
Cell-64690	P11	C9
Cell-64692	P11	C10
Cell-64696	P11	C3
Cell-64700	P11	C3
Cell-64701	P11	C8
Cell-64720	P11	C3
Cell-64721	P11	C43
Cell-64724	P11	C12
Cell-64727	P11	C29
Cell-64732	P11	C27
Cell-64733	P11	C26
Cell-64734	P11	C21
Cell-64741	P11	C34
Cell-64742	P11	C20
Cell-64743	P11	C3
Cell-64744	P11	C18
Cell-64759	P11	C3
Cell-64763	P11	C54
Cell-64766	P11	C16
Cell-64784	P11	C12
Cell-64786	P11	C3
Cell-64788	P11	C3
Cell-64789	P11	C55
Cell-64802	P11	C8
Cell-64803	P11	C21
Cell-64806	P11	C12
Cell-64807	P11	C24
Cell-64815	P11	C12
Cell-64820	P11	C8
Cell-64821	P11	C18
Cell-64835	P11	C18
Cell-64841	P11	C54
Cell-64851	P11	C20
Cell-64855	P11	C13
Cell-64859	P11	C55
Cell-64861	P11	C54
Cell-64881	P11	C41
Cell-64882	P11	C19
Cell-64894	P11	C35
Cell-64895	P11	C12
Cell-64900	P11	C23
Cell-64901	P11	C26
Cell-64905	P11	C12
Cell-64906	P11	C20
Cell-64907	P11	C8
Cell-64916	P11	C53
Cell-64921	P11	C47
Cell-64922	P11	C18
Cell-64936	P11	C3
Cell-64940	P11	C53
Cell-64953	P11	C11
Cell-64965	P11	C10
Cell-64968	P11	C28
Cell-64971	P11	C10
Cell-64983	P11	C3
Cell-64984	P11	C12
Cell-64987	P11	C30
Cell-64988	P11	C8
Cell-64991	P11	C12
Cell-64992	P11	C37
Cell-65002	P11	C31
Cell-65004	P11	C8
Cell-65005	P11	C31
Cell-65008	P11	C54
Cell-65009	P11	C12
Cell-65021	P11	C12
Cell-65022	P11	C36
Cell-65030	P11	C12
Cell-65033	P11	C18
Cell-65042	P11	C53
Cell-65047	P11	C4
Cell-65061	P11	C11
Cell-65063	P11	C22
Cell-65066	P11	C54
Cell-65069	P11	C1
Cell-65094	P11	C23
Cell-65100	P11	C3
Cell-65113	P11	C18
Cell-65115	P11	C26
Cell-65121	P11	C9
Cell-65139	P11	C22
Cell-65149	P11	C54
Cell-65152	P11	C54
Cell-65153	P11	C8
Cell-65167	P11	C41
Cell-65168	P11	C1
Cell-65170	P11	C12
Cell-65171	P11	C30
Cell-65173	P11	C4
Cell-65175	P11	C3
Cell-65181	P11	C18
Cell-65184	P11	C47
Cell-65185	P11	C8
Cell-65186	P11	C20
Cell-65197	P11	C21
Cell-65204	P11	C8
Cell-65205	P11	C14
Cell-65213	P11	C8
Cell-65214	P11	C1
Cell-65215	P11	C22
Cell-65223	P11	C8
Cell-65225	P11	C20
Cell-65226	P11	C26
Cell-65238	P11	C24
Cell-65239	P11	C8
Cell-65243	P11	C1
Cell-65254	P11	C54
Cell-65255	P11	C14
Cell-65256	P11	C8
Cell-65261	P11	C53
Cell-65269	P11	C45
Cell-65270	P11	C54
Cell-65272	P11	C13
Cell-65273	P11	C12
Cell-65275	P11	C12
Cell-65289	P11	C3
Cell-65292	P11	C8
Cell-65293	P11	C41
Cell-65303	P11	C41
Cell-65305	P11	C1
Cell-65310	P11	C30
Cell-65322	P11	C40
Cell-65327	P11	C18
Cell-65344	P11	C53
Cell-65348	P11	C4
Cell-65350	P11	C20
Cell-65351	P11	C9
Cell-65364	P11	C24
Cell-65385	P11	C29
Cell-65406	P11	C31
Cell-65418	P11	C53
Cell-65422	P11	C41
Cell-65431	P11	C23
Cell-65439	P11	C31
Cell-65440	P11	C43
Cell-65446	P11	C55
Cell-65447	P11	C30
Cell-65462	P11	C19
Cell-65463	P11	C44
Cell-65468	P11	C40
Cell-65486	P11	C4
Cell-65489	P11	C24
Cell-65490	P11	C9
Cell-65503	P11	C55
Cell-65504	P11	C32
Cell-65508	P11	C23
Cell-65509	P11	C21
Cell-65512	P11	C54
Cell-65530	P11	C12
Cell-65532	P11	C8
Cell-65535	P11	C21
Cell-65536	P11	C8
Cell-65537	P11	C54
Cell-65550	P11	C21
Cell-65551	P11	C30
Cell-65552	P11	C16
Cell-65554	P11	C3
Cell-65557	P11	C16
Cell-65558	P11	C30
Cell-65571	P11	C53
Cell-65572	P11	C53
Cell-65574	P11	C14
Cell-65576	P11	C10
Cell-65591	P11	C17
Cell-65609	P11	C1
Cell-65612	P11	C3
Cell-65613	P11	C31
Cell-65631	P11	C55
Cell-65633	P11	C8
Cell-65639	P11	C10
Cell-65640	P11	C8
Cell-65650	P11	C10
Cell-65655	P11	C16
Cell-65669	P11	C12
Cell-65670	P11	C11
Cell-65672	P11	C8
Cell-65679	P11	C40
Cell-65682	P11	C17
Cell-65696	P11	C1
Cell-65697	P11	C31
Cell-65698	P11	C8
Cell-65719	P11	C8
Cell-65720	P11	C8
Cell-65723	P11	C1
Cell-65724	P11	C37
Cell-65729	P11	C8
Cell-65730	P11	C1
Cell-65733	P11	C54
Cell-65749	P11	C10
Cell-65751	P11	C1
Cell-65752	P11	C33
Cell-65753	P11	C30
Cell-65754	P11	C17
Cell-65756	P11	C5
Cell-65789	P11	C35
Cell-65805	P11	C13
Cell-65821	P11	C41
Cell-65822	P11	C12
Cell-65823	P11	C55
Cell-65824	P11	C3
Cell-65825	P11	C21
Cell-65832	P11	C13
Cell-65835	P11	C46
Cell-65839	P11	C5
Cell-65845	P11	C5
Cell-65848	P11	C54
Cell-65849	P11	C14
Cell-65853	P11	C25
Cell-65854	P11	C42
Cell-65882	P11	C10
Cell-65899	P11	C53
Cell-65900	P11	C1
Cell-65902	P11	C16
Cell-65903	P11	C55
Cell-65905	P11	C9
Cell-65919	P11	C55
Cell-65920	P11	C53
Cell-65925	P11	C12
Cell-65935	P11	C1
Cell-65936	P11	C21
Cell-65939	P11	C35
Cell-65952	P11	C33
Cell-65953	P11	C3
Cell-65960	P11	C31
Cell-65975	P11	C30
Cell-65988	P11	C41
Cell-65989	P11	C23
Cell-66001	P11	C1
Cell-66004	P11	C53
Cell-66015	P11	C31
Cell-66016	P11	C53
Cell-66017	P11	C54
Cell-66022	P11	C10
Cell-66049	P11	C18
Cell-66050	P11	C53
Cell-66052	P11	C16
Cell-66066	P11	C36
Cell-66072	P11	C35
Cell-66074	P11	C18
Cell-66079	P11	C54
Cell-66098	P11	C41
Cell-66100	P11	C8
Cell-66106	P11	C13
Cell-66107	P11	C29
Cell-66121	P11	C27
Cell-66129	P11	C10
Cell-66155	P11	C54
Cell-66159	P11	C54
Cell-66169	P11	C54
Cell-66185	P11	C38
Cell-66187	P11	C17
Cell-66196	P11	C18
Cell-66200	P11	C13
Cell-66204	P11	C54
Cell-66222	P11	C53
Cell-66225	P11	C10
Cell-66226	P11	C12
Cell-66241	P11	C25
Cell-66245	P11	C25
Cell-66246	P11	C5
Cell-66266	P11	C31
Cell-66283	P11	C42
Cell-66285	P11	C8
Cell-66290	P11	C25
Cell-66301	P11	C36
Cell-66307	P11	C18
Cell-66321	P11	C13
Cell-66322	P11	C9
Cell-66325	P11	C34
Cell-66329	P11	C36
Cell-66337	P11	C54
Cell-66341	P11	C34
Cell-66352	P11	C9
Cell-66353	P11	C13
Cell-66357	P11	C44
Cell-66358	P11	C4
Cell-66359	P11	C25
Cell-66377	P11	C12
Cell-66380	P11	C27
Cell-66381	P11	C41
Cell-66398	P11	C23
Cell-66399	P11	C53
Cell-66408	P11	C3
Cell-66430	P11	C25
Cell-66433	P11	C13
Cell-66446	P11	C4
Cell-66449	P11	C54
Cell-66450	P11	C1
Cell-66464	P11	C4
Cell-66467	P11	C54
Cell-66468	P11	C29
Cell-66469	P11	C55
Cell-66471	P11	C20
Cell-66483	P11	C13
Cell-66487	P11	C4
Cell-66501	P11	C46
Cell-66502	P11	C53
Cell-66503	P11	C29
Cell-66509	P11	C4
Cell-66510	P11	C41
Cell-66532	P11	C55
Cell-66534	P11	C1
Cell-66548	P11	C12
Cell-66549	P11	C54
Cell-66554	P11	C41
Cell-66555	P11	C1
Cell-66557	P11	C18
Cell-66559	P11	C47
Cell-66575	P11	C41
Cell-66594	P11	C35
Cell-66597	P11	C5
Cell-66599	P11	C23
Cell-66600	P11	C3
Cell-66601	P11	C18
Cell-66603	P11	C4
Cell-66605	P11	C55
Cell-66608	P11	C11
Cell-66609	P11	C10
Cell-66623	P11	C18
Cell-66632	P11	C12
Cell-66635	P11	C35
Cell-66636	P11	C24
Cell-66638	P11	C18
Cell-66640	P11	C5
Cell-66641	P11	C1
Cell-66658	P11	C1
Cell-66661	P11	C18
Cell-66665	P11	C3
Cell-66697	P11	C55
Cell-66698	P11	C34
Cell-66700	P11	C13
Cell-66701	P11	C9
Cell-66703	P11	C10
Cell-66718	P11	C24
Cell-66724	P11	C8
Cell-66727	P11	C16
Cell-66731	P11	C12
Cell-66732	P11	C26
Cell-66734	P11	C55
Cell-66755	P11	C4
Cell-66763	P11	C53
Cell-66768	P11	C17
Cell-66781	P11	C1
Cell-66791	P11	C30
Cell-66792	P11	C54
Cell-66803	P11	C1
Cell-66806	P11	C17
Cell-66821	P11	C12
Cell-66823	P11	C1
Cell-66825	P11	C53
Cell-66826	P11	C9
Cell-66832	P11	C1
Cell-66844	P11	C21
Cell-66846	P11	C31
Cell-66855	P11	C4
Cell-66857	P11	C41
Cell-66875	P11	C55
Cell-66878	P11	C33
Cell-66879	P11	C1
Cell-66881	P11	C54
Cell-66894	P11	C35
Cell-66899	P11	C5
Cell-66901	P11	C53
Cell-66923	P11	C13
Cell-66926	P11	C12
Cell-66931	P11	C13
Cell-66951	P11	C12
Cell-66953	P11	C9
Cell-66954	P11	C20
Cell-66955	P11	C3
Cell-66956	P11	C24
Cell-66960	P11	C21
Cell-66963	P11	C54
Cell-66997	P11	C14
Cell-67002	P11	C33
Cell-67025	P11	C4
Cell-67031	P11	C3
Cell-67048	P11	C3
Cell-67050	P11	C30
Cell-67054	P11	C31
Cell-67055	P11	C4
Cell-67056	P11	C16
Cell-67078	P11	C28
Cell-67080	P11	C4
Cell-67082	P11	C14
Cell-67083	P11	C31
Cell-67084	P11	C8
Cell-67085	P11	C9
Cell-67103	P11	C54
Cell-67127	P11	C53
Cell-67129	P11	C3
Cell-67151	P11	C3
Cell-67154	P11	C11
Cell-67155	P11	C16
Cell-67157	P11	C31
Cell-67159	P11	C13
Cell-67160	P11	C18
Cell-67171	P11	C53
Cell-67184	P11	C24
Cell-67200	P11	C42
Cell-67203	P11	C12
Cell-67205	P11	C24
Cell-67219	P11	C3
Cell-67220	P11	C12
Cell-67222	P11	C9
Cell-67223	P11	C8
Cell-67226	P11	C27
Cell-67227	P11	C8
Cell-67229	P11	C16
Cell-67239	P11	C8
Cell-67240	P11	C12
Cell-67242	P11	C54
Cell-67243	P11	C34
Cell-67253	P11	C54
Cell-67254	P11	C20
Cell-67255	P11	C12
Cell-67261	P11	C14
Cell-67262	P11	C14
Cell-67263	P11	C1
Cell-67270	P11	C3
Cell-67271	P11	C18
Cell-67273	P11	C41
Cell-67275	P11	C3
Cell-67292	P11	C53
Cell-67305	P11	C12
Cell-67306	P11	C1
Cell-67314	P11	C24
Cell-67315	P11	C47
Cell-67316	P11	C8
Cell-67317	P11	C1
Cell-67318	P11	C21
Cell-67331	P11	C53
Cell-67332	P11	C44
Cell-67343	P11	C1
Cell-67348	P11	C14
Cell-67349	P11	C4
Cell-67350	P11	C3
Cell-67351	P11	C3
Cell-67366	P11	C30
Cell-67367	P11	C11
Cell-67369	P11	C53
Cell-67373	P11	C37
Cell-67375	P11	C16
Cell-67389	P11	C43
Cell-67391	P11	C53
Cell-67393	P11	C8
Cell-67396	P11	C3
Cell-67397	P11	C16
Cell-67426	P11	C54
Cell-67432	P11	C31
Cell-67443	P11	C20
Cell-67444	P11	C3
Cell-67447	P11	C1
Cell-67448	P11	C12
Cell-67461	P11	C18
Cell-67462	P11	C3
Cell-67465	P11	C34
Cell-67466	P11	C14
Cell-67485	P11	C24
Cell-67486	P11	C14
Cell-67487	P11	C20
Cell-67489	P11	C12
Cell-67492	P11	C35
Cell-67493	P11	C13
Cell-67507	P11	C27
Cell-67525	P11	C26
Cell-67527	P11	C27
Cell-67528	P11	C55
Cell-67533	P11	C4
Cell-67552	P11	C41
Cell-67556	P11	C53
Cell-67559	P11	C8
Cell-67562	P11	C25
Cell-67563	P11	C9
Cell-67565	P11	C11
Cell-67584	P11	C21
Cell-67588	P11	C30
Cell-67589	P11	C18
Cell-67590	P11	C19
Cell-67606	P11	C20
Cell-67607	P11	C24
Cell-67630	P11	C22
Cell-67654	P11	C1
Cell-67671	P11	C21
Cell-67674	P11	C36
Cell-67675	P11	C32
Cell-67694	P11	C41
Cell-67699	P11	C8
Cell-67713	P11	C1
Cell-67716	P11	C16
Cell-67719	P11	C4
Cell-67739	P11	C23
Cell-67740	P11	C14
Cell-67741	P11	C53
Cell-67742	P11	C8
Cell-67745	P11	C12
Cell-67748	P11	C30
Cell-67762	P11	C44
Cell-67763	P11	C37
Cell-67765	P11	C4
Cell-67767	P11	C3
Cell-67775	P11	C8
Cell-67777	P11	C13
Cell-67779	P11	C38
Cell-67780	P11	C13
Cell-67782	P11	C53
Cell-67783	P11	C38
Cell-67791	P11	C35
Cell-67794	P11	C9
Cell-67796	P11	C9
Cell-67797	P11	C12
Cell-67798	P11	C1
Cell-67801	P11	C4
Cell-67816	P11	C53
Cell-67817	P11	C16
Cell-67822	P11	C53
Cell-67835	P11	C21
Cell-67837	P11	C12
Cell-67838	P11	C21
Cell-67839	P11	C8
Cell-67840	P11	C12
Cell-67841	P11	C26
Cell-67846	P11	C8
Cell-67847	P11	C41
Cell-67848	P11	C8
Cell-67858	P11	C54
Cell-67859	P11	C9
Cell-67860	P11	C8
Cell-67882	P11	C33
Cell-67883	P11	C27
Cell-67884	P11	C11
Cell-67889	P11	C1
Cell-67891	P11	C13
Cell-67893	P11	C3
Cell-67905	P11	C53
Cell-67907	P11	C30
Cell-67908	P11	C28
Cell-67911	P11	C8
Cell-67932	P11	C29
Cell-67933	P11	C8
Cell-67934	P11	C8
Cell-67939	P11	C46
Cell-67940	P11	C54
Cell-67961	P11	C12
Cell-67962	P11	C12
Cell-67964	P11	C25
Cell-67967	P11	C41
Cell-67969	P11	C53
Cell-67970	P11	C9
Cell-67971	P11	C13
Cell-67972	P11	C17
Cell-67991	P11	C8
Cell-67992	P11	C37
Cell-67993	P11	C9
Cell-67994	P11	C53
Cell-67996	P11	C54
Cell-67997	P11	C12
Cell-67998	P11	C24
Cell-68011	P11	C8
Cell-68017	P11	C16
Cell-68018	P11	C8
Cell-68019	P11	C31
Cell-68020	P11	C14
Cell-68022	P11	C45
Cell-68034	P11	C23
Cell-68035	P11	C21
Cell-68039	P11	C9
Cell-68040	P11	C53
Cell-68041	P11	C1
Cell-68048	P11	C8
Cell-68050	P11	C11
Cell-68051	P11	C21
Cell-68052	P11	C11
Cell-68071	P11	C13
Cell-68073	P11	C23
Cell-68077	P11	C16
Cell-68089	P11	C13
Cell-68094	P11	C32
Cell-68109	P11	C11
Cell-68112	P11	C53
Cell-68121	P11	C1
Cell-68122	P11	C1
Cell-68127	P11	C8
Cell-68128	P11	C8
Cell-68137	P11	C12
Cell-68138	P11	C8
Cell-68142	P11	C35
Cell-68145	P11	C9
Cell-68146	P11	C13
Cell-68147	P11	C22
Cell-68148	P11	C9
Cell-68149	P11	C12
Cell-68151	P11	C8
Cell-68152	P11	C31
Cell-68167	P11	C10
Cell-68168	P11	C54
Cell-68171	P11	C30
Cell-68177	P11	C13
Cell-68178	P11	C53
Cell-68190	P11	C54
Cell-68199	P11	C3
Cell-68202	P11	C3
Cell-68222	P11	C24
Cell-68227	P11	C54
Cell-68243	P11	C8
Cell-68244	P11	C3
Cell-68246	P11	C54
Cell-68262	P11	C9
Cell-68280	P11	C30
Cell-68281	P11	C11
Cell-68285	P11	C19
Cell-68301	P11	C41
Cell-68305	P11	C11
Cell-68317	P11	C18
Cell-68319	P11	C18
Cell-68321	P11	C18
Cell-68322	P11	C37
Cell-68323	P11	C11
Cell-68328	P11	C54
Cell-68329	P11	C31
Cell-68340	P11	C3
Cell-68341	P11	C32
Cell-68342	P11	C51
Cell-68344	P11	C54
Cell-68348	P11	C1
Cell-68350	P11	C16
Cell-68351	P11	C34
Cell-68353	P11	C19
Cell-68370	P11	C12
Cell-68371	P11	C18
Cell-68372	P11	C21
Cell-68374	P11	C18
Cell-68376	P11	C25
Cell-68392	P11	C3
Cell-68394	P11	C8
Cell-68397	P11	C22
Cell-68402	P11	C24
Cell-68403	P11	C18
Cell-68404	P11	C34
Cell-68417	P11	C24
